"Application_1","Application_2","injection_rate_1","injection_rate_2","packets_1","packets_2","duration","performance_metric"
297670000,297791000,0.989954993128777,0.0430459156632423,51248,51248,137,30.0160649891034
86271000,86669000,0.744881539605558,0.51192457601428,176196,176196,147,3.24946912343395
85968000,85906000,0.111791365779936,0.260510917752981,89216,89216,79,7.50222194882131
91208000,90132000,0.129582108929753,0.722603593021631,251816,251816,346,2.97377561196256
85911000,86231000,0.511758718639612,0.473650354892015,162560,162560,132,3.66216794834575
46307000,46010000,0.75341225694865,0.942525252699852,18864,18864,509,12.8241916532198
86017000,85943000,0.386496883817017,0.191238343715668,65612,65612,66,8.28305179564008
85968000,86224000,0.491936744190753,0.570763852447271,196112,196112,163,3.1360710166286
86197000,85990000,0.874042785726488,0.326663892716169,112212,112212,92,4.66904131904515
37162000,7141000,0.609809525310993,0.858036823570728,17156,17156,387,7.13717485635017
126046000,126191000,0.242960913106799,0.10189675539732,51316,51316,74,15.1881658466924
8768000,8120000,0.0136832790449262,0.876369267702103,17528,17528,399,3.53224665161019
97191000,97208000,0.631567644886672,0.132386580109596,51336,51336,62,10.7759709253805
86905000,87446000,0.884572293609381,0.663763392716646,229460,229460,246,2.5454342247772
86400000,86195000,0.251426810398698,0.407498303800821,140032,140032,114,4.59897240175636
8981000,5060000,0.255144906230271,0.756220818497241,15116,15116,203,3.31097025940246
19922335000,19923478000,0.888671438209713,0.000642464496195316,51200,51200,7423,1946.72080023959
86349000,86575000,0.627483729273081,0.5317750768736,182844,182844,145,3.2269853967262
85814000,86149000,0.00994989462196827,0.287594054825604,98572,98572,84,7.72220319386742
87293000,89298000,0.247039997018874,0.70244747120887,244832,244832,291,2.85638523735522
86117000,86308000,0.613538204692304,0.446993959136307,153864,153864,131,3.74450410673468
47017000,19332000,0.870329394936562,0.978122808970511,19560,19560,531,9.02118232214893
85845000,85888000,0.487842431291938,0.233824455179274,80192,80192,75,6.73948798418215
87075000,87330000,0.390592182055116,0.598426823504269,206420,206420,182,3.12336190202624
86402000,86195000,0.757126625627279,0.345934559591115,118844,118844,105,4.53731505459489
26623000,24310000,0.508029120974243,0.814565257169306,16268,16268,307,8.58326576128082
190606000,190730000,0.12550209928304,0.0673057744279504,51268,51268,96,23.781735272784
27609000,16779000,0.115523768588901,0.919779353775084,18396,18396,459,6.99819031793805
85758000,85922000,0.748964466154575,0.16716016177088,57236,57236,62,8.59033153697409
86861000,86275000,0.985856777988374,0.635794741101563,219088,219088,204,2.59229978741881
86003000,85999000,0.368404955603182,0.388654437847435,133584,133584,106,4.53988613319821
87434000,88971000,0.322052123956382,0.677677690982819,234932,234932,261,2.87746238175884
